sentiment,mean_trades,median_trades,mean_volume,median_volume,mean_avg_trade,mean_long_ratio
Fear,4183.46875,2763.5,22004952.905625,7341059.785,5926.522722732153,0.45935203482903747
Greed,1168.945945945946,283.0,4186768.7054054053,810078.52,5637.302441468773,0.49884742234493623
Neutral,892.625,164.5,2730404.29375,372722.07999999996,3793.4441610327312,0.468967370621575
