sentiment,volume_segment,mean_pnl,median_pnl,mean_win_rate,pct_profitable
Fear,HighVolume,335474.62304547057,126967.976166,0.43147698702710474,0.9411764705882353
Fear,LowVolume,66457.10658673334,21703.816512999998,0.39820011671756755,0.9333333333333333
Greed,HighVolume,197209.9965824,111230.498007,0.4431068145101352,1.0
Greed,LowVolume,74391.6263824375,20766.4796575,0.3574341303030949,0.75
Neutral,HighVolume,-25991.506339,-25991.506339,0.3315508021390374,0.0
Neutral,LowVolume,26390.554916714285,0.16271999999999998,0.2505592791265471,0.5714285714285714
