sentiment,trader_days,mean_pnl,median_pnl,mean_win_rate,median_win_rate,pct_profitable
Fear,32,209372.6622054375,81389.6825155,0.4158784540695092,0.3939621144568476,0.9375
Greed,37,90988.70343648648,20925.513222,0.369011520060803,0.3381837779574239,0.7837837837837838
Neutral,8,19842.79725975,-0.41864,0.26068321950310835,0.18832420369243252,0.5
