sentiment,activity_segment,mean_pnl,median_pnl,mean_win_rate,pct_profitable
Fear,Frequent,329421.23960925,131588.0100395,0.4160294720664911,0.9375
Fear,Infrequent,89324.084801625,55196.8994565,0.41572743607252727,0.9375
Greed,Frequent,185834.58524766666,95581.40752800001,0.46878815269894486,1.0
Greed,Infrequent,72631.4359891613,16102.56859,0.3496999137437433,0.7419354838709677
Neutral,Frequent,-9125.157325,-9125.157325,0.32545931758530183,0.0
Neutral,Infrequent,23981.076486142858,0.16271999999999998,0.25142949120565217,0.5714285714285714
