sentiment,consistency_segment,mean_pnl,median_pnl,mean_win_rate,pct_profitable
Fear,Consistent,154934.2999316923,55383.764072499995,0.4317173822889148,1.0
Fear,Inconsistent,445272.2320583333,210136.08187,0.34724309845208484,0.6666666666666666
Greed,Consistent,130532.00605548148,39978.37791,0.4319740295310446,0.9629629629629629
Greed,Inconsistent,-15778.213634799997,0.0,0.19901274449115086,0.3
Neutral,Consistent,30753.021603166668,-0.41864,0.27565249231430494,0.5
Neutral,Inconsistent,-12887.875770499999,-12887.875770499999,0.2157754010695187,0.5
